         282545 function calls (274804 primitive calls) in 229.848 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:2539(BigAutoField)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2548(SmallAutoField)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:260(autocomplete)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:265(to_language)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:274(to_locale)
        9    0.000    0.000    0.006    0.001 __init__.py:29(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:30(CacheHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:30(TranslatorCommentWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:313(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.028    0.028 __init__.py:33(load_command_class)
        1    0.000    0.000  229.649  229.649 __init__.py:334(execute)
        2    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
       19    0.001    0.000    0.003    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:36(SettingsReference)
        2    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:37(BadSerializer)
        1    0.000    0.000    0.000    0.000 __init__.py:372(_CountryNameDict)
        3    0.000    0.000    0.000    0.000 __init__.py:384(__getattr__)
        3    0.000    0.000    0.000    0.000 __init__.py:391(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:398(_FixedOffset)
        1    0.000    0.000    0.009    0.009 __init__.py:4(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:40(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:406(WinDLL)
        1    0.000    0.000    0.001    0.001 __init__.py:411(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:415(HRESULT)
        1    0.000    0.000  229.649  229.649 __init__.py:416(execute_from_command_line)
        2    0.000    0.000    0.000    0.000 __init__.py:418(__init__)
      104    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:42(Empty)
        1    0.000    0.000    0.000    0.000 __init__.py:42(Trans)
        1    0.000    0.000    0.000    0.000 __init__.py:424(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:428(OleDLL)
        1    0.000    0.000    0.006    0.006 __init__.py:43(get_commands)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:439(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:441(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:450(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:46(NOT_PROVIDED)
        1    0.000    0.000    0.000    0.000 __init__.py:469(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:48(LazySettings)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:508(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:515(__eq__)
      192    0.000    0.000    0.000    0.000 __init__.py:524(__lt__)
        1    0.000    0.000    0.003    0.003 __init__.py:54(_setup)
        1    0.000    0.000    0.001    0.001 __init__.py:55(__getattr__)
       20    0.000    0.000    0.000    0.000 __init__.py:550(__deepcopy__)
        2    0.000    0.000    0.000    0.000 __init__.py:553(__init__)
       20    0.000    0.000    0.000    0.000 __init__.py:561(__copy__)
        1    0.000    0.000    0.000    0.000 __init__.py:581(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:600(most_common)
       27    0.000    0.000    0.000    0.000 __init__.py:608(validators)
        1    0.000    0.000    0.000    0.000 __init__.py:649(update)
        1    0.000    0.000    0.000    0.000 __init__.py:66(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:687(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:7(RenameContentType)
        1    0.000    0.000    0.000    0.000 __init__.py:729(Filter)
        8    0.000    0.000    0.000    0.000 __init__.py:73(<dictcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:740(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:755(db_tablespace)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:766(Filterer)
      101    0.000    0.000    0.000    0.000 __init__.py:767(set_attributes_from_name)
       16    0.000    0.000    0.000    0.000 __init__.py:771(__init__)
      101    0.000    0.000    0.001    0.000 __init__.py:774(contribute_to_class)
        2    0.000    0.000    0.000    0.000 __init__.py:777(addFilter)
       17    0.000    0.000    0.003    0.000 __init__.py:79(__getattr__)
        3    0.000    0.000    0.055    0.018 __init__.py:8(<module>)
        1    0.000    0.000    0.473    0.473 __init__.py:8(setup)
       92    0.000    0.000    0.000    0.000 __init__.py:809(get_attname)
       92    0.000    0.000    0.000    0.000 __init__.py:812(get_attname_column)
        4    0.000    0.000    0.000    0.000 __init__.py:838(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:84(Field)
       16    0.000    0.000    0.000    0.000 __init__.py:844(has_default)
        1    0.000    0.000    0.000    0.000 __init__.py:848(Handler)
        3    0.000    0.000    0.000    0.000 __init__.py:848(get_default)
        3    0.000    0.000    0.000    0.000 __init__.py:852(_get_default)
        3    0.000    0.000    0.000    0.000 __init__.py:857(<lambda>)
        4    0.000    0.000    0.000    0.000 __init__.py:857(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:873(set_name)
        4    0.000    0.000    0.000    0.000 __init__.py:886(createLock)
        2    0.000    0.000    0.000    0.000 __init__.py:896(acquire)
        2    0.000    0.000    0.000    0.000 __init__.py:903(release)
        3    0.000    0.000    0.000    0.000 __init__.py:910(setLevel)
       13    0.000    0.000    0.001    0.000 __init__.py:912(formfield)
        6    0.000    0.000    0.005    0.001 __init__.py:93(gettext)
        2    0.000    0.000    0.000    0.000 __init__.py:95(__setattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:955(BooleanField)
        1    0.000    0.000    0.000    0.000 __init__.py:957(setFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:972(close)
        3    0.000    0.000    0.000    0.000 __init__.py:988(formfield)
        1    0.000    0.000    0.000    0.000 _base.py:113(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:143(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:314(Future)
        1    0.000    0.000    0.008    0.008 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:45(Error)
        1    0.000    0.000    0.000    0.000 _base.py:49(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:53(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:558(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:57(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:61(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:640(BrokenExecutor)
        1    0.000    0.000    0.000    0.000 _base.py:76(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:98(_FirstCompletedWaiter)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:283(__subclasshook__)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:362(__subclasshook__)
       15    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
       32    0.000    0.000    0.000    0.000 _collections_abc.py:759(get)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:766(__contains__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:774(keys)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:778(items)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:801(__init__)
       48    0.000    0.000    0.000    0.000 _collections_abc.py:824(__iter__)
       48    0.000    0.000    0.000    0.000 _collections_abc.py:848(__iter__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:924(clear)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.002    0.002 _header_value_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:115(TokenList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:182(WhiteSpaceTokenList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:193(UnstructuredTokenList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:197(Phrase)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:200(Word)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:204(CFWSList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:208(Atom)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:212(Token)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:217(EncodedWord)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:224(QuotedString)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:251(BareQuotedString)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:263(Comment)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:289(AddressList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:308(Address)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:333(MailboxList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:347(GroupList)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:364(Group)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:385(NameAddr)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:412(AngleAddr)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:446(ObsRoute)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:455(Mailbox)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:482(InvalidMailbox)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:493(Domain)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:503(DotAtom)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:507(DotAtomText)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:512(NoFoldLiteral)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:517(AddrSpec)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:550(ObsLocalPart)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:556(DisplayName)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:598(LocalPart)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:634(DomainLiteral)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:650(MIMEVersion)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:657(Parameter)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:685(InvalidParameter)
        1    0.000    0.000    0.000    0.000 _header_value_parser.py:690(Attribute)
